"","","","2023","2023"
"","","","Unit","Value"
"Belize","Food supply quantity (kg/capita/yr)","Milk - Excluding Butter","kg/cap","99.59"
"Belize","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","kg/cap","40.01"
"Belize","Food supply quantity (kg/capita/yr)","Vegetables","kg/cap","79.93"
"Bhutan","Food supply quantity (kg/capita/yr)","Eggs","kg/cap","4.28"
"Bhutan","Food supply quantity (kg/capita/yr)","Fish, Seafood","kg/cap","6.26"
"Bhutan","Food supply quantity (kg/capita/yr)","Fruits - Excluding Wine","kg/cap","30.87"
"Bhutan","Food supply quantity (kg/capita/yr)","Meat","kg/cap","14.66"
"Bhutan","Food supply quantity (kg/capita/yr)","Milk - Excluding Butter","kg/cap","63.52"
"Bhutan","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","kg/cap","19.48"
"Bhutan","Food supply quantity (kg/capita/yr)","Vegetables","kg/cap","63.5"
"Bolivia (Plurinational State of)","Food supply quantity (kg/capita/yr)","Eggs","kg/cap","6.89"
"Bolivia (Plurinational State of)","Food supply quantity (kg/capita/yr)","Fish, Seafood","kg/cap","2.12"
"Bolivia (Plurinational State of)","Food supply quantity (kg/capita/yr)","Fruits - Excluding Wine","kg/cap","85.15"
"Bolivia (Plurinational State of)","Food supply quantity (kg/capita/yr)","Meat","kg/cap","84.43"
"Bolivia (Plurinational State of)","Food supply quantity (kg/capita/yr)","Milk - Excluding Butter","kg/cap","39.06"
"Bolivia (Plurinational State of)","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","kg/cap","86.86"
"Bolivia (Plurinational State of)","Food supply quantity (kg/capita/yr)","Vegetables","kg/cap","43.05"
"Bosnia and Herzegovina","Food supply quantity (kg/capita/yr)","Eggs","kg/cap","7"
"Bosnia and Herzegovina","Food supply quantity (kg/capita/yr)","Fish, Seafood","kg/cap","5.86"
"Bosnia and Herzegovina","Food supply quantity (kg/capita/yr)","Fruits - Excluding Wine","kg/cap","196.6"
"Bosnia and Herzegovina","Food supply quantity (kg/capita/yr)","Meat","kg/cap","51.88"
"Bosnia and Herzegovina","Food supply quantity (kg/capita/yr)","Milk - Excluding Butter","kg/cap","193.37"
"Bosnia and Herzegovina","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","kg/cap","53.72"
"Bosnia and Herzegovina","Food supply quantity (kg/capita/yr)","Vegetables","kg/cap","260.99"
"Botswana","Food supply quantity (kg/capita/yr)","Eggs","kg/cap","1.41"
"Botswana","Food supply quantity (kg/capita/yr)","Fish, Seafood","kg/cap","2.22"
