Country,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Sugar & Sweeteners,Vegetables,Country_Code
Papua New Guinea,0.44,7.1,211.7,58.47,6.29,9.61,51.38,PNG
Paraguay,17.23,5.33,78.18,26.94,59.52,26.85,65.3,PRY
Peru,10.95,25.94,135.55,55.44,89.91,20.61,62.59,PER
Philippines,5.75,26.34,98.2,33.64,23.85,28.3,59.48,PHL
Poland,5.17,11.15,66.88,83.31,206.3,55.83,123.56,POL
Portugal,12.86,53.49,136.22,99.32,239.4,23.33,127.06,PRT
Qatar,15.15,22.03,71.22,71.43,99.79,35.12,173.75,QAT
"Korea, Rep.",13.0,52.82,48.06,84.0,28.99,54.48,214.62,KOR
Moldova,12.28,19.48,148.25,40.5,120.27,39.61,118.47,MDA
Romania,13.16,8.7,112.88,72.45,233.38,30.13,124.79,ROU
Russian Federation,16.83,22.8,73.1,84.77,198.41,66.55,106.74,RUS
Rwanda,0.36,5.15,99.31,6.43,13.7,20.86,45.54,RWA
St. Kitts and Nevis,3.8,36.42,198.27,88.88,53.33,74.91,36.05,KNA
St. Lucia,5.13,24.95,115.04,90.33,69.22,49.71,51.52,LCA
St. Vincent and the Grenadines,4.82,20.05,128.17,118.47,131.46,73.83,50.23,VCT
Samoa,1.48,46.62,176.53,109.05,49.8,41.63,22.9,WSM
Sao Tome and Principe,0.71,26.52,192.15,25.19,19.73,31.21,32.02,STP
Saudi Arabia,11.39,12.92,105.32,58.08,80.09,34.66,118.98,SAU
Senegal,3.3,13.75,19.67,20.01,18.26,19.92,140.51,SEN
Serbia,12.78,8.45,147.61,84.2,189.36,13.36,103.07,SRB
Seychelles,11.02,42.91,84.51,70.7,101.74,63.7,137.03,SYC
Sierra Leone,1.26,24.45,30.75,10.82,8.75,13.18,67.58,SLE
Slovak Republic,9.34,10.61,61.14,70.01,218.62,79.41,117.47,SVK
Slovenia,11.25,11.21,131.06,60.39,200.89,56.31,160.73,SVN
Solomon Islands,0.84,30.49,32.38,15.62,9.92,13.49,11.2,SLB
South Africa,5.86,5.59,26.41,58.27,52.28,34.4,37.31,ZAF
Spain,15.4,36.8,113.83,100.79,191.53,32.89,110.21,ESP
Sri Lanka,3.57,22.73,43.03,11.56,43.36,38.11,62.38,LKA
Suriname,5.77,16.67,62.98,48.48,47.73,123.35,58.37,SUR
Sweden,10.42,30.62,86.97,68.35,220.77,45.71,158.59,SWE
Switzerland,12.79,16.46,96.34,63.97,289.98,36.9,146.89,CHE
Syrian Arab Republic,4.09,0.8,80.74,16.23,73.46,13.16,74.82,SYR
Tajikistan,6.21,0.91,29.71,32.92,111.57,17.04,259.51,TJK
Thailand,11.69,28.62,71.68,24.48,31.93,52.79,42.44,THA
Timor-Leste,2.41,6.97,16.42,31.81,12.59,13.29,27.83,TLS
Tonga,3.69,28.58,97.13,156.95,52.11,47.22,261.75,TON
Trinidad and Tobago,7.03,17.96,73.53,65.74,68.43,38.87,95.29,TTO
Tunisia,7.03,15.88,109.38,30.93,114.71,27.57,252.42,TUN
Turkmenistan,11.56,2.36,51.55,51.16,278.57,16.98,130.42,TKM
Tuvalu,11.0,55.92,111.93,85.22,25.96,61.8,72.42,TUV
Turkiye,10.52,5.32,167.77,49.37,186.75,28.93,250.58,TUR
Uganda,0.75,15.41,207.61,10.85,53.99,12.7,27.85,UGA
Ukraine,16.15,16.86,51.81,49.45,148.52,68.19,180.37,UKR
United Arab Emirates,7.3,23.11,64.13,67.84,110.83,31.43,70.94,ARE
United Kingdom,10.78,17.7,92.09,84.44,236.73,47.3,165.67,GBR
Tanzania,2.81,6.4,67.18,12.17,36.15,9.55,42.14,TZA
United States,15.59,21.94,169.2,122.06,226.3,62.95,129.06,USA
Uruguay,14.5,11.93,98.56,69.3,223.36,46.08,107.42,URY
Uzbekistan,12.56,5.21,106.84,47.36,275.62,19.72,262.59,UZB
Vanuatu,3.53,30.04,138.5,40.99,26.54,18.49,121.19,VUT
"Venezuela, RB",6.94,8.75,91.82,37.98,124.63,35.26,47.94,VEN
Viet Nam,3.96,40.06,99.61,60.48,37.38,29.6,191.32,VNM
"Yemen, Rep.",1.6,2.02,26.47,13.72,32.8,25.08,19.85,YEM
Zambia,2.7,12.89,4.27,17.63,8.1,10.69,17.95,ZMB
Zimbabwe,1.56,2.63,43.01,57.58,27.22,27.6,134.34,ZWE
