Country,Country_Code,Eggs (kg/capita/year),Fish & Seafood (kg/capita/year),Fruits (kg/capita/year),Meat (kg/capita/year),Milk (kg/capita/year),Sugar (kg/capita/year),Vegetables (kg/capita/year),GDP per Capita (US$),Life Expectancy (Years),Diabetes Prevalence (%),Obesity (%)
St. Vincent and the Grenadines,VCT,4.82,20.05,128.17,118.47,131.46,73.83,50.23,10582.3656725229,71.23,8.6,34.29296
Samoa,WSM,1.48,46.62,176.53,109.05,49.8,41.63,22.9,4822.74084650019,71.698,25.4,62.669434
Sao Tome and Principe,STP,0.71,26.52,192.15,25.19,19.73,31.21,32.02,2990.6606143535,69.718,12.1,15.775804
Saudi Arabia,SAU,11.39,12.92,105.32,58.08,80.09,34.66,118.98,36156.848337701,78.732,23.1,38.78293
Senegal,SEN,3.3,13.75,19.67,20.01,18.26,19.92,140.51,1698.03387300843,68.683,3.8,9.801421
Serbia,SRB,12.78,8.45,147.61,84.2,189.36,13.36,103.07,12281.707946167,76.1414634146341,10.5,25.237143
Seychelles,SYC,11.02,42.91,84.51,70.7,101.74,63.7,137.03,18262.7115849287,75.419512195122,9.3,33.919697
Sierra Leone,SLE,1.26,24.45,30.75,10.82,8.75,13.18,67.58,758.329137378248,61.786,4.8,7.069082
Slovak Republic,SVK,9.34,10.61,61.14,70.01,218.62,79.41,117.47,24614.8734642794,78.119512195122,7.1,29.626179
Slovenia,SVN,11.25,11.21,131.06,60.39,200.89,56.31,160.73,32660.4753581346,81.9292682926829,7.0,22.272335
Solomon Islands,SLB,0.84,30.49,32.38,15.62,9.92,13.49,11.2,1882.64394148042,70.528,12.0,20.529776
South Africa,ZAF,5.86,5.59,26.41,58.27,52.28,34.4,37.31,6034.27208964673,66.139,7.2,30.865429
Spain,ESP,15.4,36.8,113.83,100.79,191.53,32.89,110.21,33493.2225409111,83.9341463414634,9.7,19.28985
Sri Lanka,LKA,3.57,22.73,43.03,11.56,43.36,38.11,62.38,3798.89016573011,77.483,10.2,10.696547
Suriname,SUR,5.77,16.67,62.98,48.48,47.73,123.35,58.37,5521.97602122638,73.631,13.8,30.046003
Sweden,SWE,10.42,30.62,86.97,68.35,220.77,45.71,158.59,54950.2834725622,83.309756097561,5.8,18.402994
Switzerland,CHE,12.79,16.46,96.34,63.97,289.98,36.9,146.89,100623.549627296,84.1560975609756,5.3,12.680827
Syrian Arab Republic,SYR,4.09,0.8,80.74,16.23,73.46,13.16,74.82,,72.12,19.0,29.827124
Tajikistan,TJK,6.21,0.91,29.71,32.92,111.57,17.04,259.51,1178.47990060249,71.79,8.0,20.313622
Thailand,THA,11.69,28.62,71.68,24.48,31.93,52.79,42.44,7195.10130919449,76.412,10.2,14.925946
Timor-Leste,TLS,2.41,6.97,16.42,31.81,12.59,13.29,27.83,1502.41147438211,67.689,3.2,3.0203624
